ss	seed	unique	Min Helix	Generation
.......((((((...........))))))...(((((((((((((((((((...........((((((...)))))).))))))......((((((..((((...((((...))))..))).)..)))))).)))))...)))))))).	linearbp	1673	1	MFE
((((.(((((...(((((.(....)))))).....)).)))..))))((((((((((((................)))..))))))))).....(((.((...(((.(((....((((((.....))))))..))).)))...)))))..	linearbp	242	1	MFE
.((((....))))(((((..((((....((((.(((...))).......((((..((((.(((((((...)))))).)))))..))))...(((((((....(((..........)))...)))))))))))....))))..).))))..	linearbp	0	1	MFE
...............((.(((.(((.(......).))).))).))..((((.......((((.(((((....))).....))..))))......)))).....((((((.....(((((((.......)))))))...))))))......	linearbp	651	1	MFE
.............(((((........)))))(((.(((..((......))..))).))).(((((.((((((.(.((((((..((((....((((((....................)))))))))))))))).).)))))).)))))..	linearbp	2026	1	MFE
((.(((((.((((.....)))).))))))).......(((((....)))))......(((.((.(((((.(.....).))))).)).)))((((((.......)))))).(((((......)))))((((((..((....)).)))))).	linearbp	198	1	MFE
.....(((....(((((...((((.((.....))))))((...))..(((((((((((((...(((.((((.......)))).)))...)))))))))))))))))).....)))((((.(((....).)).))))..............	linearbp	248	1	MFE
((........))....((((((......((((((((.(((((((((((....((..........))...)))))))))).).))))))))(((((....(((.(((((.(((.((.....)))))))))).))))))))...))))))..	linearbp	732	1	MFE
.(((.((((....(((((..(...(((..((((..(((((((((.....))))..........)))))..))).)..)))...)..)))))..)))))))(((((((((((..((((((....))))))..))))).)))))).......	linearbp	0	1	MFE
....(((....(((((.(((.(((.(((((((..((....((((((....(((((.....((((((..........)))))))))))..))))))(.(((..........))).).))..)))))))..))).))).))))).....)))	linearbp	0	1	MFE
......(((...((....))...)))(((((((((.(((...........))))))).......((((.(((...((((((..(((...))).)))))))))))))((((((...(.((((......)))).).))))))..)))))...	linearbp	932	1	MFE
.((((((.(((((((..(((....(((.((((((((..(((.(.(((((((..((....)).)))))))).)))..)))..))))).....(((.(((((.((.((...)).)).)))))))))))......))))))))))..))))))	linearbp	396	1	MFE
(((.((.......(((.((((.((((..((((((((....)))((((....((.((((((.......))...)))).))....))))..)))))..)))).)))))))..((.(.((((...........)))).).)))).))).....	linearbp	332	1	MFE
........(((((.(((((..(((.(((........))).).))...)))))..(((....)))...((((.(((...(.((((......)))).)...)))))))(((((.((((((....((((...)))))))).))))))))))))	linearbp	0	1	MFE
......(((....)))((((.((((.(((((....)))))))))..)))).((((.(.((.((.......((((((....((((((((....))))))))..))))))......)).))).))))............((((....)))).	linearbp	656	1	MFE
........(((....)))........((((((((((((...(..(((((((...((((.....(((((((((((((((....))).))).....((((....)))))))))))))...))))...))).))))..)))))))))))))..	linearbp	0	1	MFE
